カテゴリ,キーワード
【心疾患】,植え込み型除細動器植え込み
【血管疾患】,弓部大動脈
【肺疾患】,炎症性肉芽腫
【消化器疾患】,胃炎
【糖尿病および内分泌疾患】,低血糖性脳症
【膠原病】,血管ベーチェット
【褥瘡および皮膚疾患】,壊疽
【癌】,膵臓癌
神経疾患,パーキンソンニズム
【脳血管疾患】,脳底動脈
【整形疾患】,指骨折
【心疾患】,洞不全症候群
【血管疾患】,下肢静脈血栓
【肺疾患】,気管支拡張症
【消化器疾患】,潰瘍性大腸炎
【糖尿病および内分泌疾患】,橋本病
【膠原病】,重症筋無力症
【癌】,膵頭部癌
神経疾患,ウェルニッケ
【脳血管疾患】,脳幹出血
【整形疾患】,趾骨折
【心疾患】,無症候性心筋虚血
【血管疾患】,下肢虚血
【肺疾患】,気管支軟化症
【消化器疾患】,直腸潰瘍
【糖尿病および内分泌疾患】,汎下垂体機能低下症
【膠原病】,抗リン脂質抗体症候群
【癌】,膵頭頸部癌
神経疾患,ギラン・バレー症候群
【脳血管疾患】,脳内出血
【整形疾患】,肘頭骨折
【心疾患】,経皮血管形成
【血管疾患】,上腕動脈血栓塞栓
【肺疾患】,気胸既往
【消化器疾患】,肝硬変
【糖尿病および内分泌疾患】,副腎不全
【膠原病】,プロテインS/C欠損症
【癌】,膵癌
神経疾患,パーキンソン症候群
【脳血管疾患】,脳出血
【整形疾患】,肘骨折
【心疾患】,肥大型心筋
【血管疾患】,深部静脈血栓
【肺疾患】,肺気腫
【消化器疾患】,肝不全
【膠原病】,慢性炎症性脱髄性多発神経炎CIDP
【癌】,膠芽腫
神経疾患,アミロイドアンギオパチー
【脳血管疾患】,水頭症
【整形疾患】,化膿性関節
【心疾患】,肺血栓塞栓
【血管疾患】,肺動脈瘻コイル塞栓術後
【肺疾患】,気管支拡張症
【消化器疾患】,肝性脳症
【膠原病】,関節リウマチ既往
【癌】,膵尾部癌
神経疾患,多系統萎縮症
【脳血管疾患】,脳塞栓
【整形疾患】,肩甲骨骨折
【心疾患】,アブレーション
【血管疾患】,肺塞栓症
【肺疾患】,閉塞性肺疾患
【消化器疾患】,肝機能障害
【膠原病】,シェーグレン症候群
【癌】,膣癌
神経疾患,先天性ミオパチー
【脳血管疾患】,脳幹梗塞
【整形疾患】,右肩骨折既往
【心疾患】,心室中隔欠損症
【血管疾患】,大動脈瘤
【肺疾患】,肺化膿症
【消化器疾患】,肝膿瘍
【膠原病】,顕微鏡的多発血管炎
【癌】,膵こう部癌
神経疾患,大脳白質形成不全
【脳血管疾患】,ラクナ梗塞
【整形疾患】,腸骨骨折
【心疾患】,心室細動
【血管疾患】,脾動脈瘤
【肺疾患】,慢性気道炎
【消化器疾患】,肝血管腫
【膠原病】,巨細胞性動脈炎
【癌】,膵体尾部癌
神経疾患,先天性奇形症候群
【脳血管疾患】,一過性脳虚血発作
【整形疾患】,膝蓋骨
【心疾患】,心室頻拍
【血管疾患】,解離性動脈瘤
【肺疾患】,拘束性換気障害
【消化器疾患】,総胆管結石
【膠原病】,多発性筋炎
【癌】,膀胱がん
神経疾患,精神遅滞
【脳血管疾患】,中大脳動脈
【整形疾患】,果骨折
【心疾患】,心房中隔欠損症
【血管疾患】,腎動脈狭窄
【肺疾患】,肺線維症
【消化器疾患】,逆流性食道炎
【癌】,腹膜播種
神経疾患,てんかん
【脳血管疾患】,低酸素脳症
【整形疾患】,鎖骨骨折
【心疾患】,徐脈頻脈症候群
【肺疾患】,肺サルコイドーシス既往
【消化器疾患】,虚血性腸炎
【癌】,脳腫瘍
神経疾患,トラベ症候群
【脳血管疾患】,前大脳動脈
【整形疾患】,頬骨骨折
【心疾患】,心サルコイドーシス
【肺疾患】,閉塞性換気障害
【消化器疾患】,膵石
【癌】,胸膜悪性中皮腫
神経疾患,ダウン症
【脳血管疾患】,内頚動脈
【整形疾患】,圧迫骨折
【心疾患】,大動脈弁
【消化器疾患】,膵管内乳頭粘液性
【癌】,胆管癌
神経疾患,ダウン症候群
【脳血管疾患】,被殻出血
【整形疾患】,尾骨骨折
【心疾患】,連合弁膜症
【消化器疾患】,腸切除
【癌】,髄膜癌腫症
神経疾患,ミオパチー
【脳血管疾患】,クモ膜下出血
【整形疾患】,関節突起骨折
【心疾患】,CRT-D
【消化器疾患】,腸捻転
【癌】,肺腺癌
神経疾患,中枢系炎症性脱髄性疾患
【脳血管疾患】,くも膜下出血
【整形疾患】,ひざ関節炎
【心疾患】,CRTD
【消化器疾患】,腸管拡張
【癌】,直腸癌
神経疾患,大脳皮質基底核
【脳血管疾患】,皮質下出血
【整形疾患】,腿骨折
【心疾患】,DDD
【消化器疾患】,腹壁瘢痕ヘルニア
【癌】,食道癌
神経疾患,小児麻痺
【脳血管疾患】,視床梗塞
【整形疾患】,化膿性膝関節
【心疾患】,ICD
【消化器疾患】,膵炎
【癌】,有棘細胞癌
神経疾患,小頭症
【脳血管疾患】,頚動脈狭窄
【整形疾患】,大腿転子部骨折
【心疾患】,maze
【消化器疾患】,IPMN
【癌】,残存癌
神経疾患,遅発性ジスキネジア
【脳血管疾患】,頸動脈ステント
【整形疾患】,大腿部骨折
【心疾患】,MitraClip
【消化器疾患】,膵嚢胞性
【癌】,悪性腫瘍
神経疾患,染色体異常
【脳血管疾患】,硬膜外血種
【整形疾患】,坐骨骨折
【心疾患】,ペースメーカー
【消化器疾患】,癒着性イレウス術後
【癌】,甲状腺癌
神経疾患,筋萎縮症
【脳血管疾患】,正常圧水頭症
【整形疾患】,手関節部骨折
【心疾患】,左室収縮能
【消化器疾患】,胆嚢炎
【癌】,盲腸癌
神経疾患,精神発達遅滞
【脳血管疾患】,開頭血種
【整形疾患】,左手首関節炎
【心疾患】,閉鎖不全症
【消化器疾患】,閉塞性黄疸
【癌】,直腸がん
神経疾患,精神運動発達遅滞
【脳血管疾患】,脳膿瘍
【整形疾患】,肘粉砕骨折
【心疾患】,僧帽弁
【消化器疾患】,閉塞性イレウス
【癌】,肝細胞癌
神経疾患,重度心身障害
【整形疾患】,脱臼骨折
【心疾患】,冠動脈
【消化器疾患】,虫垂炎術後
【癌】,胆管癌
神経疾患,知的障害
【整形疾患】,肩骨折
【心疾患】,冠攣縮
【消化器疾患】,胆嚢腺筋症
【癌】,肺小細胞癌
神経疾患,精神発達遅滞
【整形疾患】,脛骨
【心疾患】,動脈管開存症
【消化器疾患】,胆嚢頚部ポリープ
【癌】,肺腺癌
神経疾患,心身障害者
【整形疾患】,腓骨
【心疾患】,TAVI
【消化器疾患】,胆石
【癌】,胃体部癌
神経疾患,多発ニューロパチー
【整形疾患】,膝骨折
【心疾患】,WPW症候群
【消化器疾患】,胆管ステント留置
